,feature,importance,feature_type
576,std_20170531T082011_B04,3,std_B04
577,std_20170531T082011_B05,19,std_B05
578,std_20170531T082011_B06,13,std_B06
579,std_20170531T082011_B08,17,std_B08
580,std_20170531T082011_NDVI,2,std_NDVI
581,std_20170620T082011_B02,1,std_B02
582,std_20170620T082011_B03,1,std_B03
583,std_20170620T082011_B04,6,std_B04
584,std_20170620T082011_B05,4,std_B05
585,std_20170620T082011_B06,5,std_B06
586,std_20170620T082011_B08,5,std_B08
587,std_20170620T082011_NDVI,8,std_NDVI
588,std_20170710T082011_B02,1,std_B02
589,std_20170710T082011_B03,1,std_B03
590,std_20170710T082011_B04,1,std_B04
591,std_20170710T082011_B05,3,std_B05
592,std_20170710T082011_B06,11,std_B06
593,std_20170710T082011_B08,10,std_B08
594,std_20170710T082011_NDVI,7,std_NDVI
595,std_20170715T081609_B02,1,std_B02
596,std_20170715T081609_B03,0,std_B03
597,std_20170715T081609_B04,3,std_B04
598,std_20170715T081609_B05,2,std_B05
599,std_20170715T081609_B06,14,std_B06
600,std_20170715T081609_B08,7,std_B08
601,std_20170715T081609_NDVI,11,std_NDVI
602,std_20170804T081559_B02,2,std_B02
603,std_20170804T081559_B03,3,std_B03
604,std_20170804T081559_B04,1,std_B04
605,std_20170804T081559_B05,3,std_B05
606,std_20170804T081559_B06,7,std_B06
607,std_20170804T081559_B08,0,std_B08
608,std_20170804T081559_NDVI,2,std_NDVI
609,std_20170819T082011_B02,3,std_B02
610,std_20170819T082011_B03,0,std_B03
611,std_20170819T082011_B04,2,std_B04
612,std_20170819T082011_B05,6,std_B05
613,std_20170819T082011_B06,4,std_B06
614,std_20170819T082011_B08,5,std_B08
615,std_20170819T082011_NDVI,13,std_NDVI
616,tile_T34JEPT34JFP,1,tile
617,tile_T34JFP,0,tile
618,subregion_1,0,subregion
619,subregion_2,0,subregion
620,subregion_3,2,subregion
621,subregion_4,12,subregion
622,subregion_5,1,subregion
623,subregion_6,4,subregion
624,subregion_7,0,subregion
625,ratio_max_20170131T082151_B01,4,ratio_20170131T082151
626,ratio_max_20170210T082051_B01,2,ratio_20170210T082051
627,ratio_max_20170312T082001_B01,0,ratio_20170312T082001
628,ratio_max_20170322T081611_B01,7,ratio_20170322T081611
629,ratio_max_20170531T082011_B01,5,ratio_20170531T082011
630,ratio_max_20170620T082011_B01,9,ratio_20170620T082011
631,ratio_max_20170710T082011_B01,1,ratio_20170710T082011
632,ratio_max_20170715T081609_B01,4,ratio_20170715T081609
633,ratio_max_20170804T081559_B01,5,ratio_20170804T081559
634,ratio_max_20170819T082011_B01,3,ratio_20170819T082011
635,ratio_mean_20170131T082151_B01,1,ratio_20170131T082151
636,ratio_mean_20170210T082051_B01,5,ratio_20170210T082051
637,ratio_mean_20170312T082001_B01,5,ratio_20170312T082001
638,ratio_mean_20170322T081611_B01,4,ratio_20170322T081611
639,ratio_mean_20170531T082011_B01,1,ratio_20170531T082011
640,ratio_mean_20170620T082011_B01,2,ratio_20170620T082011
641,ratio_mean_20170710T082011_B01,7,ratio_20170710T082011
642,ratio_mean_20170715T081609_B01,3,ratio_20170715T081609
643,ratio_mean_20170804T081559_B01,7,ratio_20170804T081559
644,ratio_mean_20170819T082011_B01,6,ratio_20170819T082011
645,ratio_median_20170131T082151_B01,4,ratio_20170131T082151
646,ratio_median_20170210T082051_B01,3,ratio_20170210T082051
647,ratio_median_20170312T082001_B01,4,ratio_20170312T082001
648,ratio_median_20170322T081611_B01,12,ratio_20170322T081611
649,ratio_median_20170531T082011_B01,2,ratio_20170531T082011
650,ratio_median_20170620T082011_B01,4,ratio_20170620T082011
651,ratio_median_20170710T082011_B01,4,ratio_20170710T082011
652,ratio_median_20170715T081609_B01,2,ratio_20170715T081609
653,ratio_median_20170804T081559_B01,0,ratio_20170804T081559
654,ratio_median_20170819T082011_B01,8,ratio_20170819T082011
655,ratio_min_20170131T082151_B01,9,ratio_20170131T082151
656,ratio_min_20170210T082051_B01,1,ratio_20170210T082051
657,ratio_min_20170312T082001_B01,0,ratio_20170312T082001
658,ratio_min_20170322T081611_B01,0,ratio_20170322T081611
659,ratio_min_20170531T082011_B01,2,ratio_20170531T082011
660,ratio_min_20170620T082011_B01,10,ratio_20170620T082011
661,ratio_min_20170710T082011_B01,2,ratio_20170710T082011
662,ratio_min_20170715T081609_B01,0,ratio_20170715T081609
663,ratio_min_20170804T081559_B01,3,ratio_20170804T081559
664,ratio_min_20170819T082011_B01,6,ratio_20170819T082011
665,ratio_std_20170131T082151_B01,8,ratio_20170131T082151
666,ratio_std_20170210T082051_B01,1,ratio_20170210T082051
667,ratio_std_20170312T082001_B01,17,ratio_20170312T082001
668,ratio_std_20170322T081611_B01,1,ratio_20170322T081611
669,ratio_std_20170531T082011_B01,0,ratio_20170531T082011
670,ratio_std_20170620T082011_B01,2,ratio_20170620T082011
671,ratio_std_20170710T082011_B01,5,ratio_20170710T082011
672,ratio_std_20170715T081609_B01,10,ratio_20170715T081609
673,ratio_std_20170804T081559_B01,2,ratio_20170804T081559
674,ratio_std_20170819T082011_B01,1,ratio_20170819T082011
675,ratio_contrast_20170131T082151_B02,2,ratio_20170131T082151
676,ratio_contrast_20170210T082051_B02,3,ratio_20170210T082051
677,ratio_contrast_20170312T082001_B02,1,ratio_20170312T082001
678,ratio_contrast_20170322T081611_B02,5,ratio_20170322T081611
679,ratio_contrast_20170531T082011_B02,6,ratio_20170531T082011
680,ratio_contrast_20170620T082011_B02,7,ratio_20170620T082011
681,ratio_contrast_20170710T082011_B02,6,ratio_20170710T082011
682,ratio_contrast_20170715T081609_B02,4,ratio_20170715T081609
683,ratio_contrast_20170804T081559_B02,3,ratio_20170804T081559
684,ratio_contrast_20170819T082011_B02,0,ratio_20170819T082011
685,ratio_correlation_20170131T082151_B02,2,ratio_20170131T082151
686,ratio_correlation_20170210T082051_B02,2,ratio_20170210T082051
687,ratio_correlation_20170312T082001_B02,1,ratio_20170312T082001
688,ratio_correlation_20170322T081611_B02,4,ratio_20170322T081611
689,ratio_correlation_20170531T082011_B02,4,ratio_20170531T082011
690,ratio_correlation_20170620T082011_B02,2,ratio_20170620T082011
691,ratio_correlation_20170710T082011_B02,0,ratio_20170710T082011
692,ratio_correlation_20170715T081609_B02,2,ratio_20170715T081609
693,ratio_correlation_20170804T081559_B02,5,ratio_20170804T081559
694,ratio_correlation_20170819T082011_B02,9,ratio_20170819T082011
695,ratio_dissimilarity_20170131T082151_B02,0,ratio_20170131T082151
696,ratio_dissimilarity_20170210T082051_B02,7,ratio_20170210T082051
697,ratio_dissimilarity_20170312T082001_B02,4,ratio_20170312T082001
698,ratio_dissimilarity_20170322T081611_B02,8,ratio_20170322T081611
699,ratio_dissimilarity_20170531T082011_B02,12,ratio_20170531T082011
700,ratio_dissimilarity_20170620T082011_B02,4,ratio_20170620T082011
701,ratio_dissimilarity_20170710T082011_B02,9,ratio_20170710T082011
702,ratio_dissimilarity_20170715T081609_B02,4,ratio_20170715T081609
703,ratio_dissimilarity_20170804T081559_B02,2,ratio_20170804T081559
704,ratio_dissimilarity_20170819T082011_B02,3,ratio_20170819T082011
705,ratio_energy_20170131T082151_B02,1,ratio_20170131T082151
706,ratio_energy_20170210T082051_B02,2,ratio_20170210T082051
707,ratio_energy_20170312T082001_B02,5,ratio_20170312T082001
708,ratio_energy_20170322T081611_B02,1,ratio_20170322T081611
709,ratio_energy_20170531T082011_B02,1,ratio_20170531T082011
710,ratio_energy_20170620T082011_B02,0,ratio_20170620T082011
711,ratio_energy_20170710T082011_B02,19,ratio_20170710T082011
712,ratio_energy_20170715T081609_B02,1,ratio_20170715T081609
713,ratio_energy_20170804T081559_B02,1,ratio_20170804T081559
714,ratio_energy_20170819T082011_B02,13,ratio_20170819T082011
715,ratio_homogeneity_20170131T082151_B02,3,ratio_20170131T082151
716,ratio_homogeneity_20170210T082051_B02,3,ratio_20170210T082051
717,ratio_homogeneity_20170312T082001_B02,7,ratio_20170312T082001
718,ratio_homogeneity_20170322T081611_B02,1,ratio_20170322T081611
719,ratio_homogeneity_20170531T082011_B02,1,ratio_20170531T082011
720,ratio_homogeneity_20170620T082011_B02,16,ratio_20170620T082011
721,ratio_homogeneity_20170710T082011_B02,4,ratio_20170710T082011
722,ratio_homogeneity_20170715T081609_B02,4,ratio_20170715T081609
723,ratio_homogeneity_20170804T081559_B02,2,ratio_20170804T081559
724,ratio_homogeneity_20170819T082011_B02,9,ratio_20170819T082011
725,ratio_max_20170131T082151_B02,5,ratio_20170131T082151
726,ratio_max_20170210T082051_B02,1,ratio_20170210T082051
727,ratio_max_20170312T082001_B02,1,ratio_20170312T082001
728,ratio_max_20170322T081611_B02,4,ratio_20170322T081611
729,ratio_max_20170531T082011_B02,3,ratio_20170531T082011
730,ratio_max_20170620T082011_B02,0,ratio_20170620T082011
731,ratio_max_20170710T082011_B02,1,ratio_20170710T082011
732,ratio_max_20170715T081609_B02,0,ratio_20170715T081609
733,ratio_max_20170804T081559_B02,1,ratio_20170804T081559
734,ratio_max_20170819T082011_B02,5,ratio_20170819T082011
735,ratio_mean_20170131T082151_B02,5,ratio_20170131T082151
736,ratio_mean_20170210T082051_B02,3,ratio_20170210T082051
737,ratio_mean_20170312T082001_B02,1,ratio_20170312T082001
738,ratio_mean_20170322T081611_B02,7,ratio_20170322T081611
739,ratio_mean_20170531T082011_B02,13,ratio_20170531T082011
740,ratio_mean_20170620T082011_B02,15,ratio_20170620T082011
741,ratio_mean_20170710T082011_B02,4,ratio_20170710T082011
742,ratio_mean_20170715T081609_B02,1,ratio_20170715T081609
743,ratio_mean_20170804T081559_B02,1,ratio_20170804T081559
744,ratio_mean_20170819T082011_B02,8,ratio_20170819T082011
745,ratio_median_20170131T082151_B02,3,ratio_20170131T082151
746,ratio_median_20170210T082051_B02,4,ratio_20170210T082051
747,ratio_median_20170312T082001_B02,1,ratio_20170312T082001
748,ratio_median_20170322T081611_B02,3,ratio_20170322T081611
749,ratio_median_20170531T082011_B02,4,ratio_20170531T082011
750,ratio_median_20170620T082011_B02,2,ratio_20170620T082011
751,ratio_median_20170710T082011_B02,1,ratio_20170710T082011
752,ratio_median_20170715T081609_B02,5,ratio_20170715T081609
753,ratio_median_20170804T081559_B02,2,ratio_20170804T081559
754,ratio_median_20170819T082011_B02,2,ratio_20170819T082011
755,ratio_min_20170131T082151_B02,2,ratio_20170131T082151
756,ratio_min_20170210T082051_B02,7,ratio_20170210T082051
757,ratio_min_20170312T082001_B02,1,ratio_20170312T082001
758,ratio_min_20170322T081611_B02,2,ratio_20170322T081611
759,ratio_min_20170531T082011_B02,10,ratio_20170531T082011
760,ratio_min_20170620T082011_B02,8,ratio_20170620T082011
761,ratio_min_20170710T082011_B02,2,ratio_20170710T082011
762,ratio_min_20170715T081609_B02,5,ratio_20170715T081609
763,ratio_min_20170804T081559_B02,3,ratio_20170804T081559
764,ratio_min_20170819T082011_B02,0,ratio_20170819T082011
765,ratio_std_20170131T082151_B02,0,ratio_20170131T082151
766,ratio_std_20170210T082051_B02,0,ratio_20170210T082051
767,ratio_std_20170312T082001_B02,2,ratio_20170312T082001
768,ratio_std_20170322T081611_B02,1,ratio_20170322T081611
769,ratio_std_20170531T082011_B02,14,ratio_20170531T082011
770,ratio_std_20170620T082011_B02,6,ratio_20170620T082011
771,ratio_std_20170710T082011_B02,3,ratio_20170710T082011
772,ratio_std_20170715T081609_B02,0,ratio_20170715T081609
773,ratio_std_20170804T081559_B02,4,ratio_20170804T081559
774,ratio_std_20170819T082011_B02,1,ratio_20170819T082011
775,ratio_contrast_20170131T082151_B03,3,ratio_20170131T082151
776,ratio_contrast_20170210T082051_B03,3,ratio_20170210T082051
777,ratio_contrast_20170312T082001_B03,10,ratio_20170312T082001
778,ratio_contrast_20170322T081611_B03,3,ratio_20170322T081611
779,ratio_contrast_20170531T082011_B03,8,ratio_20170531T082011
780,ratio_contrast_20170620T082011_B03,13,ratio_20170620T082011
781,ratio_contrast_20170710T082011_B03,5,ratio_20170710T082011
782,ratio_contrast_20170715T081609_B03,8,ratio_20170715T081609
783,ratio_contrast_20170804T081559_B03,1,ratio_20170804T081559
784,ratio_contrast_20170819T082011_B03,0,ratio_20170819T082011
785,ratio_correlation_20170131T082151_B03,5,ratio_20170131T082151
786,ratio_correlation_20170210T082051_B03,6,ratio_20170210T082051
787,ratio_correlation_20170312T082001_B03,0,ratio_20170312T082001
788,ratio_correlation_20170322T081611_B03,4,ratio_20170322T081611
789,ratio_correlation_20170531T082011_B03,1,ratio_20170531T082011
790,ratio_correlation_20170620T082011_B03,5,ratio_20170620T082011
791,ratio_correlation_20170710T082011_B03,0,ratio_20170710T082011
792,ratio_correlation_20170715T081609_B03,4,ratio_20170715T081609
793,ratio_correlation_20170804T081559_B03,7,ratio_20170804T081559
794,ratio_correlation_20170819T082011_B03,7,ratio_20170819T082011
795,ratio_dissimilarity_20170131T082151_B03,4,ratio_20170131T082151
796,ratio_dissimilarity_20170210T082051_B03,1,ratio_20170210T082051
797,ratio_dissimilarity_20170312T082001_B03,0,ratio_20170312T082001
798,ratio_dissimilarity_20170322T081611_B03,4,ratio_20170322T081611
799,ratio_dissimilarity_20170531T082011_B03,1,ratio_20170531T082011
800,ratio_dissimilarity_20170620T082011_B03,9,ratio_20170620T082011
801,ratio_dissimilarity_20170710T082011_B03,12,ratio_20170710T082011
802,ratio_dissimilarity_20170715T081609_B03,0,ratio_20170715T081609
803,ratio_dissimilarity_20170804T081559_B03,0,ratio_20170804T081559
804,ratio_dissimilarity_20170819T082011_B03,0,ratio_20170819T082011
805,ratio_energy_20170131T082151_B03,14,ratio_20170131T082151
806,ratio_energy_20170210T082051_B03,5,ratio_20170210T082051
807,ratio_energy_20170312T082001_B03,4,ratio_20170312T082001
808,ratio_energy_20170322T081611_B03,11,ratio_20170322T081611
809,ratio_energy_20170531T082011_B03,1,ratio_20170531T082011
810,ratio_energy_20170620T082011_B03,3,ratio_20170620T082011
811,ratio_energy_20170710T082011_B03,7,ratio_20170710T082011
812,ratio_energy_20170715T081609_B03,9,ratio_20170715T081609
813,ratio_energy_20170804T081559_B03,4,ratio_20170804T081559
814,ratio_energy_20170819T082011_B03,1,ratio_20170819T082011
815,ratio_homogeneity_20170131T082151_B03,5,ratio_20170131T082151
816,ratio_homogeneity_20170210T082051_B03,0,ratio_20170210T082051
817,ratio_homogeneity_20170312T082001_B03,4,ratio_20170312T082001
818,ratio_homogeneity_20170322T081611_B03,0,ratio_20170322T081611
819,ratio_homogeneity_20170531T082011_B03,3,ratio_20170531T082011
820,ratio_homogeneity_20170620T082011_B03,2,ratio_20170620T082011
821,ratio_homogeneity_20170710T082011_B03,20,ratio_20170710T082011
822,ratio_homogeneity_20170715T081609_B03,3,ratio_20170715T081609
823,ratio_homogeneity_20170804T081559_B03,1,ratio_20170804T081559
824,ratio_homogeneity_20170819T082011_B03,1,ratio_20170819T082011
825,ratio_max_20170131T082151_B03,3,ratio_20170131T082151
826,ratio_max_20170210T082051_B03,1,ratio_20170210T082051
827,ratio_max_20170312T082001_B03,1,ratio_20170312T082001
828,ratio_max_20170322T081611_B03,1,ratio_20170322T081611
829,ratio_max_20170531T082011_B03,12,ratio_20170531T082011
830,ratio_max_20170620T082011_B03,2,ratio_20170620T082011
831,ratio_max_20170710T082011_B03,1,ratio_20170710T082011
832,ratio_max_20170715T081609_B03,7,ratio_20170715T081609
833,ratio_max_20170804T081559_B03,5,ratio_20170804T081559
834,ratio_max_20170819T082011_B03,11,ratio_20170819T082011
835,ratio_mean_20170131T082151_B03,6,ratio_20170131T082151
836,ratio_mean_20170210T082051_B03,4,ratio_20170210T082051
837,ratio_mean_20170312T082001_B03,1,ratio_20170312T082001
838,ratio_mean_20170322T081611_B03,10,ratio_20170322T081611
839,ratio_mean_20170531T082011_B03,17,ratio_20170531T082011
840,ratio_mean_20170620T082011_B03,19,ratio_20170620T082011
841,ratio_mean_20170710T082011_B03,3,ratio_20170710T082011
842,ratio_mean_20170715T081609_B03,7,ratio_20170715T081609
843,ratio_mean_20170804T081559_B03,2,ratio_20170804T081559
844,ratio_mean_20170819T082011_B03,4,ratio_20170819T082011
845,ratio_median_20170131T082151_B03,2,ratio_20170131T082151
846,ratio_median_20170210T082051_B03,3,ratio_20170210T082051
847,ratio_median_20170312T082001_B03,0,ratio_20170312T082001
848,ratio_median_20170322T081611_B03,5,ratio_20170322T081611
849,ratio_median_20170531T082011_B03,3,ratio_20170531T082011
850,ratio_median_20170620T082011_B03,2,ratio_20170620T082011
851,ratio_median_20170710T082011_B03,5,ratio_20170710T082011
852,ratio_median_20170715T081609_B03,3,ratio_20170715T081609
853,ratio_median_20170804T081559_B03,1,ratio_20170804T081559
854,ratio_median_20170819T082011_B03,4,ratio_20170819T082011
855,ratio_min_20170131T082151_B03,3,ratio_20170131T082151
856,ratio_min_20170210T082051_B03,7,ratio_20170210T082051
857,ratio_min_20170312T082001_B03,5,ratio_20170312T082001
858,ratio_min_20170322T081611_B03,10,ratio_20170322T081611
859,ratio_min_20170531T082011_B03,13,ratio_20170531T082011
860,ratio_min_20170620T082011_B03,14,ratio_20170620T082011
861,ratio_min_20170710T082011_B03,3,ratio_20170710T082011
862,ratio_min_20170715T081609_B03,2,ratio_20170715T081609
863,ratio_min_20170804T081559_B03,1,ratio_20170804T081559
864,ratio_min_20170819T082011_B03,0,ratio_20170819T082011
865,ratio_std_20170131T082151_B03,0,ratio_20170131T082151
866,ratio_std_20170210T082051_B03,0,ratio_20170210T082051
867,ratio_std_20170312T082001_B03,5,ratio_20170312T082001
868,ratio_std_20170322T081611_B03,11,ratio_20170322T081611
869,ratio_std_20170531T082011_B03,4,ratio_20170531T082011
870,ratio_std_20170620T082011_B03,6,ratio_20170620T082011
871,ratio_std_20170710T082011_B03,10,ratio_20170710T082011
872,ratio_std_20170715T081609_B03,6,ratio_20170715T081609
873,ratio_std_20170804T081559_B03,1,ratio_20170804T081559
874,ratio_std_20170819T082011_B03,0,ratio_20170819T082011
875,ratio_contrast_20170131T082151_B04,1,ratio_20170131T082151
876,ratio_contrast_20170210T082051_B04,1,ratio_20170210T082051
877,ratio_contrast_20170312T082001_B04,2,ratio_20170312T082001
878,ratio_contrast_20170322T081611_B04,2,ratio_20170322T081611
879,ratio_contrast_20170531T082011_B04,5,ratio_20170531T082011
880,ratio_contrast_20170620T082011_B04,6,ratio_20170620T082011
881,ratio_contrast_20170710T082011_B04,4,ratio_20170710T082011
882,ratio_contrast_20170715T081609_B04,2,ratio_20170715T081609
883,ratio_contrast_20170804T081559_B04,1,ratio_20170804T081559
884,ratio_contrast_20170819T082011_B04,3,ratio_20170819T082011
885,ratio_correlation_20170131T082151_B04,2,ratio_20170131T082151
886,ratio_correlation_20170210T082051_B04,1,ratio_20170210T082051
887,ratio_correlation_20170312T082001_B04,4,ratio_20170312T082001
888,ratio_correlation_20170322T081611_B04,3,ratio_20170322T081611
889,ratio_correlation_20170531T082011_B04,9,ratio_20170531T082011
890,ratio_correlation_20170620T082011_B04,11,ratio_20170620T082011
891,ratio_correlation_20170710T082011_B04,2,ratio_20170710T082011
892,ratio_correlation_20170715T081609_B04,3,ratio_20170715T081609
893,ratio_correlation_20170804T081559_B04,0,ratio_20170804T081559
894,ratio_correlation_20170819T082011_B04,3,ratio_20170819T082011
895,ratio_dissimilarity_20170131T082151_B04,0,ratio_20170131T082151
896,ratio_dissimilarity_20170210T082051_B04,11,ratio_20170210T082051
897,ratio_dissimilarity_20170312T082001_B04,1,ratio_20170312T082001
898,ratio_dissimilarity_20170322T081611_B04,4,ratio_20170322T081611
899,ratio_dissimilarity_20170531T082011_B04,7,ratio_20170531T082011
900,ratio_dissimilarity_20170620T082011_B04,5,ratio_20170620T082011
901,ratio_dissimilarity_20170710T082011_B04,8,ratio_20170710T082011
902,ratio_dissimilarity_20170715T081609_B04,2,ratio_20170715T081609
903,ratio_dissimilarity_20170804T081559_B04,1,ratio_20170804T081559
904,ratio_dissimilarity_20170819T082011_B04,1,ratio_20170819T082011
905,ratio_energy_20170131T082151_B04,1,ratio_20170131T082151
906,ratio_energy_20170210T082051_B04,2,ratio_20170210T082051
907,ratio_energy_20170312T082001_B04,3,ratio_20170312T082001
908,ratio_energy_20170322T081611_B04,3,ratio_20170322T081611
909,ratio_energy_20170531T082011_B04,2,ratio_20170531T082011
910,ratio_energy_20170620T082011_B04,6,ratio_20170620T082011
911,ratio_energy_20170710T082011_B04,6,ratio_20170710T082011
912,ratio_energy_20170715T081609_B04,4,ratio_20170715T081609
913,ratio_energy_20170804T081559_B04,9,ratio_20170804T081559
914,ratio_energy_20170819T082011_B04,4,ratio_20170819T082011
915,ratio_homogeneity_20170131T082151_B04,1,ratio_20170131T082151
916,ratio_homogeneity_20170210T082051_B04,3,ratio_20170210T082051
917,ratio_homogeneity_20170312T082001_B04,9,ratio_20170312T082001
918,ratio_homogeneity_20170322T081611_B04,0,ratio_20170322T081611
919,ratio_homogeneity_20170531T082011_B04,4,ratio_20170531T082011
920,ratio_homogeneity_20170620T082011_B04,7,ratio_20170620T082011
921,ratio_homogeneity_20170710T082011_B04,3,ratio_20170710T082011
922,ratio_homogeneity_20170715T081609_B04,18,ratio_20170715T081609
923,ratio_homogeneity_20170804T081559_B04,1,ratio_20170804T081559
924,ratio_homogeneity_20170819T082011_B04,3,ratio_20170819T082011
925,ratio_max_20170131T082151_B04,6,ratio_20170131T082151
926,ratio_max_20170210T082051_B04,2,ratio_20170210T082051
927,ratio_max_20170312T082001_B04,0,ratio_20170312T082001
928,ratio_max_20170322T081611_B04,2,ratio_20170322T081611
929,ratio_max_20170531T082011_B04,3,ratio_20170531T082011
930,ratio_max_20170620T082011_B04,9,ratio_20170620T082011
931,ratio_max_20170710T082011_B04,2,ratio_20170710T082011
932,ratio_max_20170715T081609_B04,3,ratio_20170715T081609
933,ratio_max_20170804T081559_B04,6,ratio_20170804T081559
934,ratio_max_20170819T082011_B04,7,ratio_20170819T082011
935,ratio_mean_20170131T082151_B04,4,ratio_20170131T082151
936,ratio_mean_20170210T082051_B04,0,ratio_20170210T082051
937,ratio_mean_20170312T082001_B04,7,ratio_20170312T082001
938,ratio_mean_20170322T081611_B04,5,ratio_20170322T081611
939,ratio_mean_20170531T082011_B04,6,ratio_20170531T082011
940,ratio_mean_20170620T082011_B04,5,ratio_20170620T082011
941,ratio_mean_20170710T082011_B04,0,ratio_20170710T082011
942,ratio_mean_20170715T081609_B04,7,ratio_20170715T081609
943,ratio_mean_20170804T081559_B04,11,ratio_20170804T081559
944,ratio_mean_20170819T082011_B04,1,ratio_20170819T082011
945,ratio_median_20170131T082151_B04,1,ratio_20170131T082151
946,ratio_median_20170210T082051_B04,10,ratio_20170210T082051
947,ratio_median_20170312T082001_B04,0,ratio_20170312T082001
948,ratio_median_20170322T081611_B04,2,ratio_20170322T081611
949,ratio_median_20170531T082011_B04,3,ratio_20170531T082011
950,ratio_median_20170620T082011_B04,3,ratio_20170620T082011
951,ratio_median_20170710T082011_B04,3,ratio_20170710T082011
952,ratio_median_20170715T081609_B04,14,ratio_20170715T081609
953,ratio_median_20170804T081559_B04,4,ratio_20170804T081559
954,ratio_median_20170819T082011_B04,0,ratio_20170819T082011
955,ratio_min_20170131T082151_B04,1,ratio_20170131T082151
956,ratio_min_20170210T082051_B04,3,ratio_20170210T082051
957,ratio_min_20170312T082001_B04,0,ratio_20170312T082001
958,ratio_min_20170322T081611_B04,4,ratio_20170322T081611
959,ratio_min_20170531T082011_B04,3,ratio_20170531T082011
960,ratio_min_20170620T082011_B04,4,ratio_20170620T082011
961,ratio_min_20170710T082011_B04,9,ratio_20170710T082011
962,ratio_min_20170715T081609_B04,1,ratio_20170715T081609
963,ratio_min_20170804T081559_B04,5,ratio_20170804T081559
964,ratio_min_20170819T082011_B04,0,ratio_20170819T082011
965,ratio_std_20170131T082151_B04,2,ratio_20170131T082151
966,ratio_std_20170210T082051_B04,4,ratio_20170210T082051
967,ratio_std_20170312T082001_B04,0,ratio_20170312T082001
968,ratio_std_20170322T081611_B04,4,ratio_20170322T081611
969,ratio_std_20170531T082011_B04,5,ratio_20170531T082011
970,ratio_std_20170620T082011_B04,2,ratio_20170620T082011
971,ratio_std_20170710T082011_B04,2,ratio_20170710T082011
972,ratio_std_20170715T081609_B04,4,ratio_20170715T081609
973,ratio_std_20170804T081559_B04,9,ratio_20170804T081559
974,ratio_std_20170819T082011_B04,2,ratio_20170819T082011
975,ratio_max_20170131T082151_B05,8,ratio_20170131T082151
976,ratio_max_20170210T082051_B05,3,ratio_20170210T082051
977,ratio_max_20170312T082001_B05,2,ratio_20170312T082001
978,ratio_max_20170322T081611_B05,5,ratio_20170322T081611
979,ratio_max_20170531T082011_B05,4,ratio_20170531T082011
980,ratio_max_20170620T082011_B05,1,ratio_20170620T082011
981,ratio_max_20170710T082011_B05,2,ratio_20170710T082011
982,ratio_max_20170715T081609_B05,3,ratio_20170715T081609
983,ratio_max_20170804T081559_B05,3,ratio_20170804T081559
984,ratio_max_20170819T082011_B05,5,ratio_20170819T082011
985,ratio_mean_20170131T082151_B05,3,ratio_20170131T082151
986,ratio_mean_20170210T082051_B05,4,ratio_20170210T082051
987,ratio_mean_20170312T082001_B05,1,ratio_20170312T082001
988,ratio_mean_20170322T081611_B05,2,ratio_20170322T081611
989,ratio_mean_20170531T082011_B05,20,ratio_20170531T082011
990,ratio_mean_20170620T082011_B05,7,ratio_20170620T082011
991,ratio_mean_20170710T082011_B05,3,ratio_20170710T082011
992,ratio_mean_20170715T081609_B05,7,ratio_20170715T081609
993,ratio_mean_20170804T081559_B05,3,ratio_20170804T081559
994,ratio_mean_20170819T082011_B05,0,ratio_20170819T082011
995,ratio_median_20170131T082151_B05,1,ratio_20170131T082151
996,ratio_median_20170210T082051_B05,8,ratio_20170210T082051
997,ratio_median_20170312T082001_B05,4,ratio_20170312T082001
998,ratio_median_20170322T081611_B05,4,ratio_20170322T081611
999,ratio_median_20170531T082011_B05,1,ratio_20170531T082011
1000,ratio_median_20170620T082011_B05,4,ratio_20170620T082011
1001,ratio_median_20170710T082011_B05,2,ratio_20170710T082011
1002,ratio_median_20170715T081609_B05,3,ratio_20170715T081609
1003,ratio_median_20170804T081559_B05,1,ratio_20170804T081559
1004,ratio_median_20170819T082011_B05,2,ratio_20170819T082011
1005,ratio_min_20170131T082151_B05,0,ratio_20170131T082151
1006,ratio_min_20170210T082051_B05,13,ratio_20170210T082051
1007,ratio_min_20170312T082001_B05,7,ratio_20170312T082001
1008,ratio_min_20170322T081611_B05,12,ratio_20170322T081611
1009,ratio_min_20170531T082011_B05,9,ratio_20170531T082011
1010,ratio_min_20170620T082011_B05,14,ratio_20170620T082011
1011,ratio_min_20170710T082011_B05,3,ratio_20170710T082011
1012,ratio_min_20170715T081609_B05,10,ratio_20170715T081609
1013,ratio_min_20170804T081559_B05,0,ratio_20170804T081559
1014,ratio_min_20170819T082011_B05,0,ratio_20170819T082011
1015,ratio_std_20170131T082151_B05,9,ratio_20170131T082151
1016,ratio_std_20170210T082051_B05,13,ratio_20170210T082051
1017,ratio_std_20170312T082001_B05,1,ratio_20170312T082001
1018,ratio_std_20170322T081611_B05,7,ratio_20170322T081611
1019,ratio_std_20170531T082011_B05,2,ratio_20170531T082011
1020,ratio_std_20170620T082011_B05,3,ratio_20170620T082011
1021,ratio_std_20170710T082011_B05,2,ratio_20170710T082011
1022,ratio_std_20170715T081609_B05,2,ratio_20170715T081609
1023,ratio_std_20170804T081559_B05,1,ratio_20170804T081559
1024,ratio_std_20170819T082011_B05,2,ratio_20170819T082011
1025,ratio_max_20170131T082151_B06,11,ratio_20170131T082151
1026,ratio_max_20170210T082051_B06,0,ratio_20170210T082051
